1,Canada                                  ,Ontario                                 ,Sault Ste. Marie                        ,"Capeners  Avenue, 3157",CaSa1,GEO001
3,Canada                                  ,Quebec                                  ,Shawinigan                              ,"Chelsea Manor  Lane, 6624",CaSh3,GEO001
4,Canada                                  ,Quebec                                  ,Sherbrooke                              ,"Baltic  Route, 2571",CaSh4,GEO001
6,Canada                                  ,Quebec                                  ,Sorel-Tracy                             ,"Commercial  Lane, 3069",CaSo6,GEO001
7,Canada                                  ,Alberta                                 ,Spruce Grove                            ,"Gavel   Lane, 6757",CaSp7,GEO001
8,Canada                                  ,Alberta                                 ,St. Albert                              ,"Glenwood Way, 5582",CaSt8,GEO001
9,Canada                                  ,Ontario                                 ,St. Catharines                          ,"Anns  Hill, 5301",CaSt9,GEO001
10,Canada                                  ,Ontario                                 ,Stratford                               ,"Battis   Pass, 853",CaSt10,GEO001
11,Canada                                  ,Ontario                                 ,St. Thomas                              ,"Littlebury  Avenue, 4358",CaSt11,GEO001
12,Canada                                  ,British Columbia                        ,Surrey                                  ,"Geffrye   Pass, 5663",CaSu12,GEO001
13,Canada                                  ,British Columbia                        ,Terrace                                 ,"Sundown Rue, 383",CaTe13,GEO001
14,Canada                                  ,Quebec                                  ,Terrebonne                              ,"Railroad Vale, 3979",CaTe14,GEO001
15,Canada                                  ,Ontario                                 ,Thorold                                 ,"Unwin  Grove, 3470",CaTh15,GEO001
16,Canada                                  ,Ontario                                 ,Thunder Bay                             ,"Virgil   Rue, 3918",CaTh16,GEO001
17,Canada                                  ,Ontario                                 ,Timmins                                 ,"Abbots   Avenue, 942",CaTi17,GEO001
18,Canada                                  ,Ontario                                 ,Toronto                                 ,"Antrobus   Pass, 8859",CaTo18,GEO001
19,Canada                                  ,Quebec                                  ,Trois-Rivières                         ,"Carpenter Hill, 8952",CaTr19,GEO001
20,Canada                                  ,Nova Scotia                             ,Truro                                   ,"Balfour    Boulevard, 9418",CaTr20,GEO001
21,Canada                                  ,Quebec                                  ,Val-d'Or                                ,"Bell    Hill, 2252",CaVa21,GEO001
22,Canada                                  ,British Columbia                        ,Vancouver                               ,"Clifton  Boulevard, 8578",CaVa22,GEO001
23,Canada                                  ,Quebec                                  ,Varennes                                ,"Chancellor  Vale, 7238",CaVa23,GEO001
24,Canada                                  ,Quebec                                  ,Vaudreuil-Dorion                        ,"Rail Grove, 2263",CaVa24,GEO001
26,Canada                                  ,British Columbia                        ,Vernon                                  ,"Burton  Road, 2000",CaVe26,GEO001
27,Canada                                  ,British Columbia                        ,Victoria                                ,"Clavell   Road, 9194",CaVi27,GEO001
28,Canada                                  ,Quebec                                  ,Victoriaville                           ,"Yoakley Tunnel, 2264",CaVi28,GEO001
30,Canada                                  ,Ontario                                 ,Welland                                 ,"Sheffield Vale, 2192",CaWe30,GEO001
31,Canada                                  ,British Columbia                        ,West End                                ,"Bendall   Hill, 3428",CaWe31,GEO001
32,Canada                                  ,Quebec                                  ,Westmount                               ,"Elf  Drive, 5982",CaWe32,GEO001
33,Canada                                  ,Yukon                                   ,Whitehorse                              ,"Sheffield Alley, 830",CaWh33,GEO001
34,Canada                                  ,British Columbia                        ,White Rock                              ,"Bayberry Avenue, 5165",CaWh34,GEO001
35,Canada                                  ,Ontario                                 ,Windsor                                 ,"Beatty  Rue, 390",CaWi35,GEO001
36,Canada                                  ,Manitoba                                ,Winnipeg                                ,"Apsley    Walk, 8668",CaWi36,GEO001
37,Canada                                  ,Ontario                                 ,Woodstock                               ,"Bell    Crossroad, 5162",CaWo37,GEO001
38,Canada                                  ,Northwest Territories                   ,Yellowknife                             ,"Longman   Hill, 3138",CaYe38,GEO001
39,Canada                                  ,Saskatchewan                            ,Yorkton                                 ,"Heritage Drive, 2965",CaYo39,GEO001
40,Canada                                  ,Nova Scotia                             ,Halifax                                 ,"Kinglake  Hill, 4992",CaHa40,GEO001
41,Canada                                  ,Newfoundland and Labrador               ,St. John's                              ,"Elf  Tunnel, 77",CaSt41,GEO001
42,Canada                                  ,Quebec                                  ,Québec                                 ,"Parkfield  Vale, 8854",CaQu42,GEO001
43,Canada                                  ,Quebec                                  ,Lévis                                  ,"Gatonby   Vale, 9096",CaLé43,GEO001
44,Canada                                  ,Quebec                                  ,Rimouski                                ,"Wakley   Alley, 9260",CaRi44,GEO001
46,Canada                                  ,Nova Scotia                             ,Sydney                                  ,"Andrews  Grove, 5429",CaSy46,GEO001
47,Canada                                  ,Quebec                                  ,L'Ancienne-Lorette                      ,"Dunstable   Vale, 187",CaL'47,GEO001
48,Canada                                  ,New Brunswick                           ,Edmundston                              ,"Gathorne   Grove, 2714",CaEd48,GEO001
49,Canada                                  ,Quebec                                  ,Thetford-Mines                          ,"Glenwood Drive, 108",CaTh49,GEO001
50,Canada                                  ,Ontario                                 ,Scarborough                             ,"Dutton   Alley, 9847",CaSc50,GEO001
51,Canada                                  ,Nova Scotia                             ,Cole Harbour                            ,"East Vale, 5129",CaCo51,GEO001
53,Canada                                  ,British Columbia                        ,West Kelowna                            ,"Abbots   Vale, 5591",CaWe53,GEO001
54,Canada                                  ,Quebec                                  ,Bellechasse Regional County Municipality,"Elystan  Drive, 6435",CaBe54,GEO001
55,Canada                                  ,Quebec                                  ,Jonquière                              ,"Timber   Drive, 7606",CaJo55,GEO001
56,Canada                                  ,Quebec                                  ,Saint-Augustin-de-Desmaures             ,"Ampton  Hill, 8240",CaSa56,GEO001
57,Canada                                  ,British Columbia                        ,Ladner                                  ,"Camera  Way, 5179",CaLa57,GEO001
58,Canada                                  ,British Columbia                        ,Walnut Grove                            ,"Ely  Walk, 4628",CaWa58,GEO001
59,Canada                                  ,Ontario                                 ,Ancaster                                ,"South Street, 8477",CaAn59,GEO001
60,Canada                                  ,British Columbia                        ,West Vancouver                          ,"Thrale   Walk, 1641",CaWe60,GEO001
61,Canada                                  ,Ontario                                 ,Willowdale                              ,"Blandford  Crossroad, 984",CaWi61,GEO001
62,Canada                                  ,Nova Scotia                             ,Lower Sacvkille                         ,"Beaconsfield  Crossroad, 9312",CaLo62,GEO001
63,Switzerland                             ,Zurich                                  ,Zürich                                 ,"Marischal  Hill, 3290",SwZü63,GEO001
64,Switzerland                             ,Zug                                     ,Zug                                     ,"Boldero   Lane, 3072",SwZu64,GEO001
65,Switzerland                             ,Vaud                                    ,Yverdon-les-Bains                       ,"Gavel   Road, 1389",SwYv65,GEO001
67,Switzerland                             ,Saint Gallen                            ,Wil                                     ,"Cavendish Alley, 3973",SwWi67,GEO001
68,Switzerland                             ,Aargau                                  ,Wettingen                               ,"Westbourne Street, 4544",SwWe68,GEO001
69,Switzerland                             ,Vaud                                    ,Vevey                                   ,"Vintners  Hill, 3624",SwVe69,GEO001
70,Switzerland                             ,Geneva                                  ,Vernier                                 ,"Catherine  Alley, 1918",SwVe70,GEO001
71,Switzerland                             ,Zurich                                  ,Uster                                   ,"Andrews  Walk, 3616",SwUs71,GEO001
72,Switzerland                             ,Bern                                    ,Thun                                    ,"Walnut Tunnel, 1298",SwTh72,GEO001
73,Switzerland                             ,Bern                                    ,Steffisburg                             ,"Lonsdale  Road, 1052",SwSt73,GEO001
74,Switzerland                             ,Valais                                  ,Sitten                                  ,"Waldram Park  Street, 450",SwSi74,GEO001
75,Switzerland                             ,Valais                                  ,Sierre                                  ,"Victoria Rise Hill, 7253",SwSi75,GEO001
77,Switzerland                             ,Schaffhausen                            ,Schaffhausen                            ,"Kingly  Alley, 2636",SwSc77,GEO001
78,Switzerland                             ,Saint Gallen                            ,Sankt Gallen                            ,"West Street, 6888",SwSa78,GEO001
79,Switzerland                             ,Vaud                                    ,Renens                                  ,"Sheraton   Rue, 6259",SwRe79,GEO001
80,Switzerland                             ,Saint Gallen                            ,Rapperswil                              ,"Chatfield  Grove, 3115",SwRa80,GEO001
81,Switzerland                             ,Vaud                                    ,Pully                                   ,"Walnut Route, 4302",SwPu81,GEO001
82,Switzerland                             ,Geneva                                  ,Onex                                    ,"Carlisle  Crossroad, 1214",SwOn82,GEO001
83,Switzerland                             ,Solothurn                               ,Olten                                   ,"Sherwood  Way, 7551",SwOl83,GEO001
84,Switzerland                             ,Zurich                                  ,Zürich (Kreis 11) / Oerlikon           ,"Linda Lane Crossroad, 9052",SwZü84,GEO001
85,Switzerland                             ,Vaud                                    ,Nyon                                    ,"Glenwood Rue, 9358",SwNy85,GEO001
86,Switzerland                             ,Neuchâtel                              ,Neuchâtel                              ,"Glenwood Rue, 6896",SwNe86,GEO001
88,Switzerland                             ,Vaud                                    ,Montreux                                ,"Hammersmith  Pass, 9974",SwMo88,GEO001
89,Switzerland                             ,Valais                                  ,Monthey                                 ,"Cingworth  Road, 5470",SwMo89,GEO001
