name,country,subcountry,geonameid
les Escaldes,Andorra,Escaldes-Engordany,3040051
Andorra la Vella,Andorra,Andorra la Vella,3041563
Umm al Qaywayn,United Arab Emirates,Umm al Qaywayn,290594
Ras al-Khaimah,United Arab Emirates,Raʼs al Khaymah,291074
Khawr Fakkān,United Arab Emirates,Ash Shāriqah,291696
Dubai,United Arab Emirates,Dubai,292223
Dibba Al-Fujairah,United Arab Emirates,Al Fujayrah,292231
Dibba Al-Hisn,United Arab Emirates,Al Fujayrah,292239
Sharjah,United Arab Emirates,Ash Shāriqah,292672
Ar Ruways,United Arab Emirates,Abu Dhabi,292688
Al Fujayrah,United Arab Emirates,Al Fujayrah,292878
Al Ain,United Arab Emirates,Abu Dhabi,292913
Ajman,United Arab Emirates,Ajman,292932
Adh Dhayd,United Arab Emirates,Ash Shāriqah,292953
Abu Dhabi,United Arab Emirates,Abu Dhabi,292968
Markaz-e Woluswalī-ye Āchīn,Afghanistan,Nangarhār,1469706
Saint John’s,Antigua and Barbuda,Saint John,3576022
The Valley,Anguilla,N/A,3573374
Sarandë,Albania,Vlorë,363243
Kukës,Albania,Kukës,782661
Korçë,Albania,Korçë,782756
Gjirokastër,Albania,Gjirokastër,783148
Elbasan,Albania,Elbasan,783263
Burrel,Albania,Dibër,783493
Vlorë,Albania,Vlorë,3183719
Tirana,Albania,Tiranë,3183875
Shkodër,Albania,Shkodër,3184081
Patos Fshat,Albania,Fier,3184517
Lushnjë,Albania,Fier,3184862
Lezhë,Albania,Lezhë,3184935
Laç,Albania,Lezhë,3185012
Kuçovë,Albania,Berat,3185060
Krujë,Albania,Durrës,3185082
Kavajë,Albania,Tiranë,3185211
Fier-Çifçi,Albania,Fier,3185670
Fier,Albania,Fier,3185672
Durrës,Albania,Durrës,3185728
Berat,Albania,Berat,3186084
Kapan,Armenia,Syunik Province,174875
Goris,Armenia,Syunik Province,174895
Hats’avan,Armenia,Syunik Province,174972
Artashat,Armenia,Ararat Province,174979
